店名,地址,網址,餐飲類型,來源清單,是否曾去過,距離住家(公里),人均消費預估(元),備註
汾陽餛飩,813台灣高雄市左營區埤西里左營大路84號,https://www.google.com/maps/place/%E6%B1%BE%E9%99%BD%E9%A4%9B%E9%A3%A9/data=!4m2!3m1!1s0x346e05a28cf64d31:0x78379da41a30631b,中式,YTer,是,247.31,120,蛇丸
舊城傳統美食,813台灣高雄市左營區城南里店仔頂路3號,https://www.google.com/maps/place/%E8%88%8A%E5%9F%8E%E5%82%B3%E7%B5%B1%E7%BE%8E%E9%A3%9F/data=!4m2!3m1!1s0x346e05a2090e9edb:0x5fbd783fc2f91161,其他,YTer,是,247.23,150,蛇丸
博多名代 吉塚鰻魚屋,"2 Chome-8-27 Nakasu, Hakata Ward, Fukuoka, 810-0801日本",https://www.google.com/maps/place/%E5%8D%9A%E5%A4%9A%E5%90%8D%E4%BB%A3+%E5%90%89%E5%A1%9A%E9%B0%BB%E9%AD%9A%E5%B1%8B/data=!4m2!3m1!1s0x35419195186bd411:0xfde6a1ce650943d4,日式,YTer,是,1336.94,600,蛇丸
元祖拉麵 長濱家,"10-242 Kamikawabatamachi, Hakata Ward, Fukuoka, 812-0026日本",https://www.google.com/maps/place/%E5%85%83%E7%A5%96%E6%8B%89%E9%BA%B5+%E9%95%B7%E6%BF%B1%E5%AE%B6/data=!4m2!3m1!1s0x35419195285fb90b:0xb73e55b3559bab18,日式,YTer,是,1336.98,250,蛇丸
Kisekinotebasaki Sararimanyokochodaimyouten,,https://www.google.com/maps/place/Kisekinotebasaki+Sararimanyokochodaimyouten/data=!4m2!3m1!1s0x354191869e1b1895:0xd8dc18632ecb9acf,其他,YTer,是,未知,150,蛇丸
Ganso Hakata Mentaiju Nishinakasu,"6-15 Nishinakasu, Chuo Ward, Fukuoka, 810-0002日本",https://www.google.com/maps/place/Ganso+Hakata+Mentaiju+Nishinakasu/data=!4m2!3m1!1s0x35419193dbe0b793:0xde0bd15c9081b8fc,其他,YTer,是,1336.58,150,蛇丸
10 COFFEE BREWERS 大名店,"6-39 Chuomachi, Beppu, Oita 874-0936日本",https://www.google.com/maps/place/10+COFFEE+BREWERS+%E5%A4%A7%E5%90%8D%E5%BA%97/data=!4m2!3m1!1s0x3541916ef6cef5ed:0xdda3cd6a5815350f,其他,YTer,是,1388.45,150,蛇丸
JACK IN THE DONUTS 福岡天神店,"2 Chome-1-44 Daimyo, Chuo Ward, Fukuoka, 810-0041日本",https://www.google.com/maps/place/JACK+IN+THE+DONUTS+%E7%A6%8F%E5%B2%A1%E5%A4%A9%E7%A5%9E%E5%BA%97/data=!4m2!3m1!1s0x3541910068b27c97:0x9783b8a1477dd65d,其他,YTer,是,1335.82,150,蛇丸
新宿焼肉 牛たんの檸檬大阪本店,"日本〒542-0074 Osaka, Chuo Ward, Sennichimae, 2 Chome−5−2 日本一歯科センタービル 1F",https://www.google.com/maps/place/%E6%96%B0%E5%AE%BF%E7%84%BC%E8%82%89+%E7%89%9B%E3%81%9F%E3%82%93%E3%81%AE%E6%AA%B8%E6%AA%AC%E5%A4%A7%E9%98%AA%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x6000e794d34c011d:0x86caa4374bc449e8,其他,YTer,是,1776.48,150,黑木太太
稚加榮 福岡店,"2 Chome-2-17 Daimyo, Chuo Ward, Fukuoka, 810-0041日本",https://www.google.com/maps/place/%E7%A8%9A%E5%8A%A0%E6%A6%AE+%E7%A6%8F%E5%B2%A1%E5%BA%97/data=!4m2!3m1!1s0x3541918713dabcc7:0xc1e91a5c0e1cdb9e,其他,YTer,是,1335.46,150,蛇丸
