標題,筆記,網址,標籤,留言
豪果複合式餐廳,牛排飯,https://www.google.com/maps/place/%E8%B1%AA%E6%9E%9C%E8%A4%87%E5%90%88%E5%BC%8F%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346835cf0fcf35a5:0xde564be0cae75bf9,,
源味燉品屋,,https://www.google.com/maps/place/%E6%BA%90%E5%91%B3%E7%87%89%E5%93%81%E5%B1%8B/data=!4m2!3m1!1s0x346835c7632b82e3:0x65b62046d8974a34,,
御廚雲泰美食,,https://www.google.com/maps/place/%E5%BE%A1%E5%BB%9A%E9%9B%B2%E6%B3%B0%E7%BE%8E%E9%A3%9F/data=!4m2!3m1!1s0x346835bf35d906f9:0xfa693890c48b92f4,,
北門炸粿,,https://www.google.com/maps/place/%E5%8C%97%E9%96%80%E7%82%B8%E7%B2%BF/data=!4m2!3m1!1s0x346835bf558c226b:0xae23a5374c62405,,
戽斗魯肉飯,,https://www.google.com/maps/place/%E6%88%BD%E6%96%97%E9%AD%AF%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x346835bf132ae4b1:0xdfc426723d4255c7,,
和味清粥,,https://www.google.com/maps/place/%E5%92%8C%E5%91%B3%E6%B8%85%E7%B2%A5/data=!4m2!3m1!1s0x346835c07b3dcf2d:0xec9b3ee9fb2b3d76,,
刀削麵,,https://www.google.com/maps/place/%E5%88%80%E5%89%8A%E9%BA%B5/data=!4m2!3m1!1s0x346835ebb04bb871:0x1a4b91fdc09ae708,,
原味鴨肉麵,,https://www.google.com/maps/place/%E5%8E%9F%E5%91%B3%E9%B4%A8%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x346835ea4d3f95bd:0x70011f60c897026f,,
楊家意麵,,https://www.google.com/maps/place/%E6%A5%8A%E5%AE%B6%E6%84%8F%E9%BA%B5/data=!4m2!3m1!1s0x346835ea4db1d651:0xd4ea7ef386c9d08e,,
老港陳,,https://www.google.com/maps/place/%E8%80%81%E6%B8%AF%E9%99%B3/data=!4m2!3m1!1s0x346835eaf1c670e1:0xb9c32be2fbcbe0df,,
